right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0012,-0.1012,0.0690,0.7006,1.1954,1.7683,-0.3866
0.3340,-0.2823,0.0909,0.7881,1.5961,1.3300,-0.3543
0.5350,-0.2382,0.6661,0.9561,1.2379,0.7551,0.6638
0.0556,0.8364,0.9975,1.3319,1.3008,1.0611,-0.6619
-0.4882,0.9626,1.1651,1.7457,0.6098,0.2366,-0.4702
0.8479,0.7045,1.5148,0.8464,2.0038,1.2790,-0.7747
0.6941,0.5511,1.6717,0.9020,1.8097,1.3480,0.8728
0.4859,0.5277,1.6460,0.8958,1.6598,1.0933,0.7298
0.3720,0.5212,1.6440,0.9196,1.6636,0.9956,0.7382
0.2378,0.5074,1.6463,0.9219,1.6632,0.9269,0.7378
0.0027,0.4594,1.6563,0.7827,0.7122,0.8629,0.1768
-0.1093,0.3985,1.7062,0.8176,0.7141,0.6519,0.1802
-0.2811,0.6496,1.7069,0.9177,0.2849,0.8134,0.1684
-0.3950,0.7892,1.6578,1.1666,0.0529,0.6703,0.1124
-0.3198,0.9273,1.6329,1.3070,-0.0936,0.4161,0.0084
-0.1016,0.7731,1.6268,0.6174,0.3946,1.2981,-0.1760
-0.1668,1.0466,1.7200,1.1743,0.3379,0.5940,-0.3290
-0.0940,0.8460,1.7081,1.0443,0.2742,0.8368,-0.1967
0.0245,1.0147,1.6774,1.1037,0.5173,0.9515,-0.2201
0.3551,1.0458,1.7434,1.1708,1.3806,0.9676,-0.3010
0.4011,0.7777,1.6114,0.9921,1.3637,0.8652,0.8218
0.4640,0.5327,1.4845,0.8011,1.3422,0.6193,1.7016
0.5691,0.3908,1.3921,0.5557,1.3411,0.6416,2.3386
0.0786,0.1147,1.4189,0.8517,-0.0127,0.4863,2.8022
0.0571,-0.2144,1.4634,0.8414,-0.4809,0.8207,-3.1021
0.0311,-0.4103,1.4519,0.8855,-0.4556,0.8521,-3.1036
0.3264,-0.4107,1.2069,0.8057,0.0012,0.8475,0.8663
0.4318,-0.4709,1.1812,1.1397,-0.5304,0.6075,1.7836
0.3137,-0.7739,1.1144,1.3990,-0.7133,0.8640,2.2308
0.4571,-0.5557,0.7781,1.0523,-2.6434,-0.6255,2.1921
0.2700,-0.3102,1.0435,0.9472,-2.8187,-0.8583,2.2737
0.2301,-0.1580,1.1693,1.0005,-2.9042,-0.6784,2.3359
0.2174,0.1101,1.5056,1.0657,-2.9184,-0.4928,2.4540
0.1645,0.3333,1.6022,1.0642,-3.0430,-0.5660,2.4432
0.2895,0.9422,1.7345,0.9027,-3.0427,-0.7681,1.9140
0.0583,0.8801,1.6114,0.8222,-3.0427,-0.9004,1.9052
-0.0587,0.8702,1.6483,0.7685,-3.0430,-0.8376,1.9044
-0.1806,0.7194,1.5723,0.7758,-3.0438,-0.8341,1.8960
-0.1975,0.4755,1.4301,0.7831,-3.0427,-0.7800,1.9248
-0.2159,0.2869,1.4101,0.7582,-3.0427,-0.7386,1.9175
